标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,0,莉莉白,莉莉白（自信）,右,难得见你一次，怎么睡着了？,1,in,,,frozen_winter,bgllb,,0,
#,1,莉莉白,莉莉白（自信）,右,是最近工作太累了吗？,2,,,breath,,bgllb,,0,
#,2,舒悦杉,舒悦杉（惊讶）,左,......啊！不好意思！,3,,,,,bgllb,,0,
#,3,莉莉白,莉莉白（自信）,右,看来你最近工作很努力。,4,,,,,bgllb,,0,
#,4,舒悦杉,舒悦杉（正常）,左,你也一样吧，总感觉很久没有见到你了。,5,,,,,bgllb,,0,
#,5,莉莉白,莉莉白（自信）,右,嘿嘿，那当然！还记得我之前提过的<color=#91002D>酒虫</color>吗？,6,,,closedoor,,bgllb,,0,
#,6,舒悦杉,舒悦杉（正常 ）,左,记得，当时我们还在酒庄实习，是那个老员工喝醉了告诉我们的。,7,,,,,bgllb,,0,
#,7,舒悦杉,舒悦杉（正常 ）,左,可以酿造出独特风味酒水的酒虫。,8,,,,,bgllb,,0,
#,8,舒悦杉,舒悦杉（正常 ）,左,你在研究它？我一直以为它只是酒庄为了营销编造的故事。,9,,,,,bgllb,,0,
#,9,莉莉白,莉莉白（自信）,右,是真的。,10,,,,,bgllb,,0,
#,10,莉莉白,莉莉白（自信）,右,而且就在我的家乡——<color=#91002D>苔眠地</color>。,11,,,,,bgllb,,0,
#,11,舒悦杉,舒悦杉（正常）,左,你怎么得到的这些信息？,12,,,,,bgllb,,0,
#,12,莉莉白,莉莉白（自信）,右,动用了一些小手段，从老员工那里套出了酒虫资料的文件存放地点。,13,,,,,bgllb,,0,
#,13,舒悦杉,舒悦杉（平静 ）,左,你还有这种本事……等等……,14,,,,,bgllb,,0,
#,14,舒悦杉,舒悦杉（惊讶）,左,你该不会是把我还在实验阶段的吐真酒拿去给那个员工喝了吧！,15,,,,,bgllb,,0,
#,15,莉莉白,莉莉白（自信）,右,对的！效果非常好哦！我一问他就如实招了。,16,,,,,bgllb,,0,
#,16,舒悦杉,舒悦杉（平静）,左,这也太鲁莽了，万一效果失控怎么办？,17,,,,,bgllb,,0,
#,17,莉莉白,莉莉白（自信）,右,我这不是替你实验了嘛，效果很稳定。,18,,,,,bgllb,,0,
#,18,莉莉白,莉莉白（自信）,右,再说，这个吐真酒我俩都试过多少次了。,19,,,,,bgllb,,0,
#,19,莉莉白,莉莉白（自信）,右,最不稳定的一次也就是你喝完不由自主念出从小到大经历过的难堪事件。,20,,,,,bgllb,,0,
#,20,舒悦杉,舒悦杉（平静）,左,啊啊啊啊啊不要再说了！,21,,,,,bgllb,,0,
#,21,舒悦杉,舒悦杉（正常）,左,唉……你这人真的是。,22,,,,,bgllb,,0,
#,22,舒悦杉,舒悦杉（正常）,左,这么说来你最近都在研究酒虫的事？,23,,,,,bgllb,,0,
#,23,莉莉白,莉莉白（自信）,右,是的，资料上记载那座酒庄的曾经盛产的酒虫酒添加了酒虫汁液。,24,,,,,bgllb,,0,
#,24,莉莉白,莉莉白（自信）,右,而酒虫汁液就是从苔眠地获取的。,25,,,,,bgllb,,0,
#,25,莉莉白,莉莉白（自信）,右,甚至酒虫酒的配方是基于苔眠地除雾酒而改造的。,26,,,,,bgllb,,0,
#,26,舒悦杉,舒悦杉（平静）,左,除雾酒？你不是说过苔眠地总是被迷雾笼罩……而且……,27,,,,,bgllb,,0,
#,27,莉莉白,莉莉白（严肃）,右,而且我的父母也死于雾灾。,28,,,,,bgllb,,0,
#,28,莉莉白,莉莉白（严肃）,右,而现在，整座小镇都在慢慢被雾侵蚀。我等不了了，悦杉。如果不找到酒虫的汁液，那里的雾永远不会散。,29,,,,,bgllb,,,
#,29,莉莉白,莉莉白（严肃）,右,我不明白既然有这样的酒，为什么苔眠地从来没有人使用过。,30,,,,,bgllb,,0,
#,30,莉莉白,莉莉白（严肃）,右,为什么这个配方会出现在远离苔眠地的酒庄。,31,,,,,bgllb,,0,
#,31,莉莉白,莉莉白（严肃）,右,而苔眠地里的人们需要用着又贵又烂的除雾机苟活。,32,,,,,bgllb,,0,
#,32,莉莉白,莉莉白（严肃）,右,我这段时间一直在尝试复现除雾酒。,33,,,,,bgllb,,0,
#,33,莉莉白,莉莉白（严肃）,右,可是缺少了酒虫的汁液，无法达到除雾的效果。,34,,,,,bgllb,,0,
#,34,舒悦杉,舒悦杉（平静）,左,你不会是想回苔眠地找酒虫吧?,35,,,,,bgllb,,0,
#,35,莉莉白,莉莉白（自信）,右,没错。,36,,,,,bgllb,,0,
#,36,舒悦杉,舒悦杉（平静）,左,可你不是说那里很危险，好不容易逃出来，再也不回去了吗？,37,,,,,bgllb,,0,
#,37,舒悦杉,舒悦杉（平静）,左,既然酒虫是真的，那也许其他安全的地方也有酒虫生存。,38,,,,,bgllb,,0,
#,38,舒悦杉,舒悦杉（平静）,左,为什么这么急着做决定。,39,,,,,bgllb,,0,
#,39,莉莉白,莉莉白（自信）,右,因为等不了了。,40,,,,,bgllb,,0,
