标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,0,,,,,1,in,,,Logic_intro,,,,
EVENT,1,,,,,2,,,,,,,,tip
EVENT,2,,,,,3,,,,,,,,tip1
EVENT,3,,,,,4,,,,,,,,tip2
EVENT,4,,,,,5,,,,,,,,jiu1
#,5,舒悦杉,舒悦杉（平静）,左,请用吧。,6,,,,,,,,
#,6,舒悦杉,舒悦杉（平静）,左,属于你的酒。,7,,,,,,,,
EVENT,7,,,,,8,,,,,,,,canmove
#,8,舒悦杉,舒悦杉（平静）,左,哈伦，我想知道那个雨夜，你到底对镇长说了什么。,9,in,,,,jgn,,,
#,9,哈伦,哈伦（半醉）,右,我……我只是想救我妹妹。,10,,,,,jgn,,,
#,10,,,,,11,in,,,,ds,,,
#,11,科马克,科马克,右,哈伦，听说莉莉白准备在明晚带你妹妹离开？还准备带走那颗虫卵？,12,,,,惑ひ_MADOHI_BPM_intro (1),ds,,,
#,12,哈伦,哈伦（愧疚）,右,镇长……那是莉莉白唯一能救我妹妹的机会。她说外面的空气也许能让虫卵自然孵化，不用再活祭了。,13,,,,,ds,,,
#,13,科马克,科马克,右,活祭是这个镇子的根基。她想断了大家的活路，你竟然还想帮她？,14,,,,,ds,,,
#,14,科马克,科马克,右,你妹妹已经快变成树了。如果她死在半路上，或者被外面的雾吞噬，你就是杀人凶手。,15,,,,,ds,,,
#,15,哈伦,哈伦（愧疚）,右,那我该怎么办！,16,,,,,ds,,,
#,16,科马克,科马克,右,告诉我她们的撤离路线。我会派人截住她。作为奖励，我会给你妹妹提供最新型号的商会除雾器，终身免费。,17,,,,,ds,,,
#,17,哈伦,哈伦（愧疚）,右,……她在西边的码头，明晚八点。求求你，别伤着她。,18,,,,,ds,,,
#,18,舒悦杉,舒悦杉（生气）,左,……,19,in,,,Logic_intro,jgn,,,
#,19,舒悦杉,舒悦杉（生气）,左,哈伦，你把莉莉白的行踪卖给了科马克。,20,,,,,jgn,,,
#,20,哈伦,哈伦（愧疚）,右,……我没有卖。,21,,,,,jgn,,,
#,21,舒悦杉,舒悦杉（生气）,左,那你做了什么？你主动去找科马克，说莉莉白行踪可疑。科马克才会去查她。,22,,,,,jgn,,,
#,22,哈伦,哈伦（愧疚）,右,……,23,,,,,jgn,,,
#,23,舒悦杉,舒悦杉（生气）,左,哈伦！她没有坏心思，她是一心要帮你！你明知道这些，你还是把她的下落交了出去。,24,,,,,jgn,,,
#,24,哈伦,哈伦（愧疚）,右,我知道。,25,,,,,jgn,,,
#,25,舒悦杉,舒悦杉（生气）,左,你明明有别的办法。你可以警告她、可以拦住她、可以什么都别做。你却选了最绝的那种。,26,,,,,jgn,,,
#,26,哈伦,哈伦（愧疚）,右,我当时……实在没办法。科马克答应过我，只要我配合，他就会继续帮我维持哈妮的状况。,27,,,,,jgn,,,
#,27,哈伦,哈伦（愧疚）,右,"你以为哈妮为什么还能活着？科马克掌控着镇上所有跟""雾""有关的事情。除雾、退雾、祭祀喂养酒虫——这些事，全镇只有他一个人能拍板。他说不救，谁都救不了。",28,,,,,jgn,,,
#,28,舒悦杉,舒悦杉（生气）,左,那也不代表他是在帮你。,29,,,,,jgn,,,
#,29,哈伦,哈伦（愧疚）,右,至少哈妮还活着。,30,,,,,jgn,,,
#,30,舒悦杉,舒悦杉（生气）,左,哈伦，你说科马克是为了镇子的人。但就算他是为了镇子的人，你就要拿莉莉白去换？,31,,,,,jgn,,,
#,31,哈伦,哈伦（愧疚）,右,……,32,,,,,jgn,,,
#,32,舒悦杉,舒悦杉（生气）,左,她也是镇子的人。她父母都植物化了。她只是想救自己家里的人。,33,,,,,jgn,,,
#,33,哈伦,哈伦（半醉）,右,我没有出卖她。,34,,,,,jgn,,,
#,34,舒悦杉,舒悦杉（惊讶）,左,……什么？,35,,,,,jgn,,,
#,35,哈伦,哈伦（愧疚）,右,我给科马克的信号是错的。,36,,,,,jgn,,,
#,36,哈伦,哈伦（愧疚）,右,我告诉他莉莉白会在西边码头出现。但她那天根本不在那里。她走的那个傍晚，我看着她出门。我没叫她回来。,37,,,,,jgn,,,
#,37,舒悦杉,舒悦杉（正常）,左,……,38,,,,,jgn,,,
#,38,哈伦,哈伦（半醉）,右,我没办法帮她，也没办法真正出卖她。,39,,,,,jgn,,,
#,39,舒悦杉,舒悦杉（正常）,左,那莉莉白后来到底去了哪里？,40,,,,,jgn,,,
#,40,哈伦,哈伦（愧疚）,右,我不知道。她走的那天没告诉任何人。,41,,,,,jgn,,,
#,41,舒悦杉,舒悦杉（凝重）,左,（线索断了。）,42,,,,,jgn,,,
#,42,舒悦杉,舒悦杉（正常）,左,（但我不能在这里停。）,43,,,,,jgn,,,
#,43,舒悦杉,舒悦杉（正常）,左,我知道了。谢谢你告诉我这些，哈伦。,44,,,,,jgn,,,
#,44,舒悦杉,舒悦杉（生气）,左,接下来麻烦你了，金夫人。,45,,,,,jgn,,,
EVENT,45,,,,,,,,,,,,,LoadScene:gamejin2|new 10
