标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,0,,,,,1,in,,,Logic_intro,,,,
EVENT,1,,,,,2,,,,,,,,tip
EVENT,2,,,,,3,,,,,,,,tip1
EVENT,3,,,,,4,,,,,,,,tip2
#,4,纳尔曼,纳尔曼（嘲讽）,右,悄悄话说完了？可以给我调酒了吗？,5,,,,,,,,
#,5,舒悦杉,舒悦杉（平静）,左,纳尔曼，既然你觉得他虚伪，。,6,,,,,,,,
#,6,舒悦杉,舒悦杉（正常）,左,那就告诉我，他到底在‘演’给谁看？,7,,,,,,,,
#,7,纳尔曼,纳尔曼（嘲讽）,右,别在这儿演戏了，舒。莉莉白可从不跟我玩这种心理暗示的把戏，她只会直接把酒推给我，然后让我滚。,8,,,,,,,,
#,8,纳尔曼,纳尔曼（嘲讽）,右,我知道你想了解什么。无非是莉莉白和哈伦，镇上的那些破事。,9,,,,,,,,
#,9,纳尔曼,纳尔曼（正常）,右,但前提是，你得先让我喝痛快了。,10,,,,,,,,
#,10,舒悦杉,舒悦杉（正常）,左,（他在逼我先出牌……）,11,,,,,,,,
#,11,舒悦杉,舒悦杉（正常）,左,……好。我给你调。,12,,,,,,,,
#,12,雪克,雪克（正常）,右,纳尔曼以前来酒馆，只点一种口味。,13,,,,,,,,
#,13,舒悦杉,舒悦杉（正常）,左,什么？,14,,,,,,,,
#,14,雪克,雪克（正常）,右,"烈，还要厚。越重越好。他不喜欢清淡的，说那种酒""像在喝洗笔水""。",15,,,,,,,,
#,15,舒悦杉,舒悦杉（正常）,左,莉莉白以前给他调过什么？,16,,,,,,,,
#,16,雪克,雪克（正常）,右,……她试过一种很浓的。<color=#91002D>基底是烈酒，醇厚的口感，再用冷杉苔藓压一点草木的苦味。</color>,17,,,,,,,,
#,17,舒悦杉,舒悦杉（平静）,左,（冷杉苔藓……就是塞塔图解上那个材料。）,18,,,,,,,,
#,18,舒悦杉,舒悦杉（正常）,左,好，我试试。,19,,,,,,,,
EVENT,19,,,,,20,,,,,,,,jiu1
#,20,纳尔曼,纳尔曼（醉酒）,右,……这杯叫什么？,21,,,,A Lullaby,,,,
#,21,舒悦杉,舒悦杉（正常）,左,还没想好名字。,22,,,,,,,,
#,22,纳尔曼,纳尔曼（醉酒）,右,莉莉白以前也是。调完了才想名字，说酒的味道会自己告诉她的……,23,,,,,,,,
#,23,舒悦杉,舒悦杉（正常）,左,火灾那天晚上，你在酒馆吗？,24,,,,,,,,
#,24,纳尔曼,纳尔曼（醉酒）,右,不在。我要是在，就不会站在这儿跟你说话了。,25,,,,,,,,
#,25,纳尔曼,纳尔曼（醉酒）,右,那天之前，酒馆已经不太平了。有人在外头喊，说莉莉白是女巫，说她酿的酒会害人，是妖术。,26,,,,,,,,
#,26,舒悦杉,舒悦杉（正常）,左,为什么？,27,,,,,,,,
#,27,纳尔曼,纳尔曼（醉酒）,右,还能为什么？不就是为了哈伦。,28,,,,,,,,
#,28,纳尔曼,纳尔曼（醉酒）,右,……哈伦？,29,,,,,,,,
#,29,,,,,30,,,,,,,,
#,30,,,,,31,,,,,,,,
#,31,纳尔曼,纳尔曼（醉酒）,右,"因为她觉得哈伦是""好人""啊。（耸肩）明明好好经营酒馆就行了，偏要做那些力所不及的事。哈伦也是——为了家里那个已经变成树的妹妹，连初心都忘了。",32,,,,,,,,
#,32,纳尔曼,纳尔曼（醉酒）,右,变成树的妹妹？,33,,,,,,,,
#,33,纳尔曼,纳尔曼（醉酒）,右,"就是他家那个""盆景""。几年前还是个小姑娘，现在坐在椅子上，腿上的根都扎进地板里了。哈伦这家伙，只要有人能救她妹妹，让他干什么都行。蠢不蠢？",34,,,,,,,,
#,34,舒悦杉,舒悦杉（惊讶）,左,（所以哈伦才会……）,35,,,,,,,,
#,35,纳尔曼,纳尔曼（醉酒）,右,舒。,36,,,,,,,,
#,36,舒悦杉,舒悦杉（疑惑）,左,……嗯？,37,,,,,,,,
#,37,纳尔曼,纳尔曼（醉酒）,右,你知道我为什么跟你说这些吗？,38,,,,,,,,
#,38,舒悦杉,舒悦杉（正常）,左,因为你喝醉了。,39,,,,,,,,
#,39,纳尔曼,纳尔曼（醉酒）,右,我从来没醉过。我是想告诉你——你和莉莉白是一种人。太像了。你们这种人，看见别人的窟窿就想堵，不管自己填不填得上。,40,,,,,,,,
#,40,纳尔曼,纳尔曼（醉酒）,右,我劝你一句——别走她的老路。有些忙，帮了是要把自己搭进去的。,41,,,,,,,,
#,41,舒悦杉,舒悦杉（正常）,左,……谢谢你的关心。但我有自己的判断。,42,,,,,,,,
#,42,纳尔曼,纳尔曼（醉酒）,右,哈……好，好。有自己的判断。,43,,,,,,,,
#,43,纳尔曼,纳尔曼（醉酒）,右,既然你这么有主见，那我也不多说了。有事儿就直接去哈伦家看看吧——小镇最西边，雾最浓的那间屋子。那里有你要的答案。,44,,,,,,,,
#,44,舒悦杉,舒悦杉（正常）,左,你为什么要告诉我？,45,,,,,,,,
#,45,纳尔曼,纳尔曼（醉酒）,右,因为我想看看，你到底有多像莉莉白。,46,,,,,,,,
#,46,纳尔曼,纳尔曼（醉酒）,右,我走了。酒不错，下次记得起个好名字，别浪费了。,47,,,,,,,,
#,47,纳尔曼,纳尔曼（醉酒）,右,,48,,fadeout,,,,,,
#,48,塞塔,塞塔（正常）,右,他、他走了？,49,,,,,,,,
#,49,舒悦杉,舒悦杉（正常）,左,走了。,50,,,,,,,,
#,50,塞塔,塞塔（正常）,右,你们……聊了那么久。他告诉你莉莉白姐姐的事了吗？,51,,,,,,,,
#,51,舒悦杉,舒悦杉（平静）,左,说了一些。但也留了很多没说的。,52,,,,,,,,
#,52,塞塔,塞塔（正常）,右,那、那我们现在怎么办？,53,,,,,,,,
#,53,舒悦杉,舒悦杉（正常）,左,明天，陪我去一趟哈伦家吧，塞塔。,54,,,,,,,,
#,54,塞塔,塞塔（正常）,右,去、去哈伦哥哥家？可是……,55,,,,,,,,
#,55,舒悦杉,舒悦杉（正常）,左,纳尔曼说那里有答案。不管他打的什么主意，我都得去看看。,56,,,,,,,,
#,56,塞塔,塞塔（正常）,右,……好。我带你去。但是悦杉姐姐——纳尔曼先生，他有时候说的话……不能全信的。,57,,,,,,,,
#,57,舒悦杉,舒悦杉（平静）,左,我知道。但他有一句话我信——。,58,,,,,,,,
#,58,舒悦杉,舒悦杉（微笑）,左,我和莉莉白，确实是一种人。,59,,,,,,,,
EVENT,59,,,,,60,,,,,,,,canmove
#,60,,,,,61,in,,,,jgn,,,
#,61,,,,,62,in,,,Mystery Unsolved,jd,,,
#,62,舒悦杉,舒悦杉（平静）,左,塞塔，关于哈伦家里，你知道些什么吗？,63,,,,,jd,,,
#,63,塞塔,塞塔（胆怯）,右,……哈伦哥哥以前也有家人的。但多年前那场雾，带走了他的父母。,64,,,,,jd,,,
#,64,塞塔,塞塔（胆怯）,右,现在他只剩下妹妹了。听镇上的老人说，哈伦哥哥原本可以去当更大的军官，但他拒绝了所有的调令，这样在巡逻队的日子会离家里人近一些。,65,,,,,jd,,,
#,65,舒悦杉,舒悦杉（平静）,左,哈伦...他就没有想过带家人走吗。,66,,,,,jd,,,
#,66,塞塔,塞塔（正常）,右,走？去哪儿？,67,,,,,jd,,,
#,67,塞塔,塞塔（正常）,右,悦杉姐姐，你来的时候也看到了吧，外面全是雾。,68,,,,,jd,,,
#,68,塞塔,塞塔（惊恐 ）,右,那时候迷雾突然卷土重来，好多人都在一夜之间离开了我们。,69,,,,,jd,,,
#,69,塞塔,塞塔（惊恐 ）,右,好在后来那些外乡带来了科技。他们安装了那个巨大的除雾装置，大家才勉强活了下来。,70,,,,,jd,,,
#,70,舒悦杉,舒悦杉（凝重 ）,左,（外来的商会……在绝境中带来的装置吗？）,71,,,,,jd,,,
#,71,舒悦杉,舒悦杉（平静）,左,那之后，就再也没有人离开过这里吗？,72,,,,,jd,,,
#,72,塞塔,塞塔（正常）,右,没人想走，也没人敢走。,73,,,,,jd,,,
#,73,舒悦杉,舒悦杉（凝重 ）,左,（对外乡人的极度依赖，以及对迷雾的绝对恐惧。哈伦留在这一边，也是因为他相信只有这些机器能保住他妹妹的命吧。）,74,,,,,jd,,,
#,74,塞塔,塞塔（正常）,右,悦杉姐姐……你真的要进哈伦哥哥家吗？哈伦哥哥要是知道我们偷看，他会发疯的。,75,,,,,jd,,,
#,75,舒悦杉,舒悦杉（平静）,左,没事的塞塔，我不是要与哈伦为敌。我只是想知道，他的心结在哪里。,76,,,,,jd,,,
#,76,,,,,77,in,,,,hlj,,,
EVENT,77,,,,,78,,,,,,,,tip3
#,78,哈妮,哈妮,右,……,79,,,,,hlj,,,
#,79,舒悦杉,舒悦杉（惊讶）,左,地上这些空壳是什么？,80,,,,,hlj,,,
#,80,塞塔,塞塔（惊恐）,右,这是……能量块的……空壳。,81,,,,,hlj,,,
#,81,舒悦杉,舒悦杉（惊讶）,左,能量块？,82,,,,,hlj,,,
#,82,塞塔,塞塔（正常）,右,就是除雾装置的主要材料！镇上每户人家只有一到两块，用来驱动门口的小型雾滤器——（声音发颤）但是这种数量……,83,,,,,hlj,,,
#,83,塞塔,塞塔（正常）,右,一块能量块够一家用半年。这地上就有十几块空壳……,84,,,,,hlj,,,
#,84,舒悦杉,舒悦杉（正常）,左,（这个家实在是过于简陋了，莫非哈伦把所有资源都拿来给妹妹续命了。）,85,,,,,hlj,,,
#,85,舒悦杉,舒悦杉（凝重）,左,"（甚至不止这些。纳尔曼说哈伦""什么事都做得出来""——一个巡逻队队长，怎么可能搞到这么多除雾装置的核心材料？）",86,,,,,hlj,,,
#,86,舒悦杉,舒悦杉（正常）,左,塞塔，巡逻队的物资仓库里……是不是也存着能量块？,87,,,,,hlj,,,
#,87,塞塔,塞塔（正常）,右,应、应该是的……但那些都是公用的，队长没有权限私自调取啊！,88,,,,,hlj,,,
#,88,舒悦杉,舒悦杉（正常）,左,如果权限不够呢？如果有人愿意为了妹妹去偷呢？,89,,,,,hlj,,,
#,89,塞塔,塞塔（正常）,右,你……你在说哈伦哥哥他——。,90,,,,,hlj,,,
#,90,哈伦,哈伦（生气）,右,你们在干什么。,91,,,,,hlj,,,
#,91,哈伦,哈伦（生气）,右,谁准你们进来的！,92,,,,,hlj,,,
#,92,哈伦,哈伦（生气）,右,滚出去。现在。,93,,,,,hlj,,,
#,93,舒悦杉,舒悦杉（正常）,左,哈伦。你在拿那些偷来的能量块在给她“续命”？,94,,,,,hlj,,,
#,94,哈伦,哈伦（生气）,右,我说最后一次。滚出去。,95,,,,,hlj,,,
#,95,舒悦杉,舒悦杉（正常）,左,你留在巡逻队，不仅仅是因为方便保护家人吧？,96,,,,,hlj,,,
#,96,舒悦杉,舒悦杉（正常）,左,你妹妹快不行了。我也懂能量块有多贵。这一屋子空壳，够普通人家用十年。一个巡逻队队长，就算把工资全搭进去也买不起这些。,97,,,,,hlj,,,
#,97,哈伦,哈伦（生气）,右,够了——。,98,,,,,hlj,,,
#,98,舒悦杉,舒悦杉（正常）,左,所以你才偷。从仓库里偷，从物资配额里扣。你以为没人知道？纳尔曼都知道了。,99,,,,,hlj,,,
#,99,哈伦,哈伦（生气）,右,闭嘴，纳尔曼那个疯子的话你也信——。,100,,,,,hlj,,,
#,100,舒悦杉,舒悦杉（正常）,左,我猜——你一开始其实没想走到这一步。直到有一天，有人带着外面的知识、外面的技术，搞得轰轰烈烈，让你看到了希望——所以你主动找上了门。那个人是莉莉白，对吗？,101,,,,,hlj,,,
#,101,哈伦,哈伦（正常）,右,……,102,,,,,hlj,,,
#,102,舒悦杉,舒悦杉（正常）,左,我说对了。,103,,,,,hlj,,,
#,103,哈伦,哈伦（生气）,右,那你让我怎么办？眼睁睁地看着她一点点虚弱吗？！,104,,,,,hlj,,,
#,104,哈伦,哈伦（愧疚）,右,"那时候哈妮的情况已经很糟了。镇上的医生只会说""没办法""。",105,,,,,hlj,,,
#,105,哈伦,哈伦（正常）,右,然后莉莉白来了——她不一样。她对哈妮的症状很感兴趣。她说她在别的地方见过类似的病例。,106,,,,,hlj,,,
#,106,舒悦杉,舒悦杉（正常）,左,类似？,107,,,,,hlj,,,
#,107,哈伦,哈伦（正常）,右,植物化。人慢慢变成植物的过程。她说她在研究怎么逆转它，或者至少……延缓它。,108,,,,,hlj,,,
#,108,哈伦,哈伦（正常）,右,"那是我第一次听到有人跟我说""还有办法""，而不是""准备后事""。",109,,,,,hlj,,,
#,109,舒悦杉,舒悦杉（正常）,左,所以你们开始合作？,110,,,,,hlj,,,
#,110,哈伦,哈伦（正常）,右,嗯。她每周来一次，带不同的酒和草药配方。哈妮的状态确实有好转——。,111,,,,,hlj,,,
#,111,哈伦,哈伦（正常）,右,但后来，一切都变了。,112,,,,,hlj,,,
#,112,舒悦杉,舒悦杉（正常）,左,为什么？,113,,,,,hlj,,,
#,113,哈伦,哈伦（生气）,右,因为她是个骗子。,114,,,,,hlj,,,
#,114,舒悦杉,舒悦杉（惊讶）,左,什么？,115,,,,,hlj,,,
#,115,哈伦,哈伦（生气）,右,她根本不是在救哈妮。她是在拿我妹妹做实验。,116,,,,,hlj,,,
#,116,哈伦,哈伦（生气）,右,她调的那些酒、那些配方——没有一个经过验证的。她只是在试。拿一条活生生的人命，试她的猜想。,117,,,,,hlj,,,
#,117,舒悦杉,舒悦杉（正常）,左,你不相信她。但你们合作了那么久——。,118,,,,,hlj,,,
#,118,哈伦,哈伦（生气）,右,"一直到她后面干了什么吗。她说普通的提取液已经到了极限，要想彻底治好，必须加入""活性的东西""。",119,,,,,hlj,,,
#,119,哈伦,哈伦（生气）,右,我问她是什么，她说……是虫卵。,120,,,,,hlj,,,
#,120,哈伦,哈伦（痛苦）,右,她竟然要把那种怪物喂给我妹妹。,121,,,,,hlj,,,
#,121,舒悦杉,舒悦杉（惊讶）,左,（虫卵……什么虫卵。难道莉莉白藏起来的是这个？）,122,,,,,hlj,,,
#,122,舒悦杉,舒悦杉（正常）,左,所以你们吵翻了。然后呢？,123,,,,,hlj,,,
#,123,哈伦,哈伦（冰冷）,右,然后她就走了。她走之前，说会找到不需要虫卵也能完成配方的办法。但那晚之后，我再也没见过她。,124,,,,,hlj,,,
#,124,舒悦杉,舒悦杉（正常）,左,哈伦。,125,,,,,hlj,,,
#,125,舒悦杉,舒悦杉（正常）,左,你从头到尾说了一件事——莉莉白在用你妹妹做实验。但你从来没说过，她做的事情没有效果。,126,,,,,hlj,,,
#,126,哈伦,哈伦（正常）,右,……,127,,,,,hlj,,,
#,127,舒悦杉,舒悦杉（正常）,左,"如果她的实验完全无效，你早就赶她走了。你没有。说明哈妮的状况确实在好转。你在隐瞒的不是""莉莉白做了什么""——而是""你明知她在做实验，却还是让她继续做了""。",128,,,,,hlj,,,
#,128,哈伦,哈伦（正常）,右,……你很聪明。聪明得让人讨厌。,129,,,,,hlj,,,
#,129,舒悦杉,舒悦杉（正常）,左,今晚。我想和你单独谈谈。,130,,,,,hlj,,,
#,130,哈伦,哈伦（正常）,右,谈什么？,131,,,,,hlj,,,
#,131,舒悦杉,舒悦杉（正常）,左,哈伦，我认为莉莉白的失踪和你说的这些应该有一些什么关联。,132,,,,,hlj,,,
