标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,0,,,,,1,in,,,frozen_winter,nb,,0,
#,1,舒悦杉,舒悦杉（疑惑）,左,嗯？门外的人还没散去吗？,2,,,,,nb,,,bei 1_0
#,2,舒悦杉,舒悦杉（疑惑）,左,难道是刚刚送信的。,3,,,,,nb,,,
#,3,雪克,雪克（正常）,右,我想应该不是。,4,,,,,nb,,,
#,4,雪克,雪克（正常）,右,从刚才开始就有人在门口晃悠。 不是路过那种走法……是在犹豫要不要进来。,5,,,,,nb,,,
#,5,舒悦杉,舒悦杉（平静）,左,小声点，别惊动她。,6,,,,,nb,,,
#,6,？？？, 塞塔（胆怯）,右,......,7,,llbblink,,,塞塔探头,,,
#,7,雪克,雪克（正常）,右,塞塔？,8,,,,,塞塔探头,,,
#,8,舒悦杉,舒悦杉（平静）,左,她跑了。,9,,,,,塞塔探头,,,
#,9,雪克,雪克（正常）,右,好像是塞塔，一个小孩子。镇上的孤儿。,10,,,,,塞塔探头,,,
#,10,雪克,雪克（正常）,右,莉莉白以前从街上把她捡回来的。那时候她大概也就……七八岁？瘦得跟小水獭一样，缩在酒馆后面的巷子里，连看人的眼神都是躲着的。,11,,,,,塞塔探头,,,
#,11,雪克,雪克（正常）,右,莉莉白给了她一个住的地方，让她在酒馆帮忙做点杂活——擦桌子、洗杯子、跑腿买东西之类的。,12,,,,,塞塔探头,,,
#,12,雪克,雪克（正常）,右,那孩子胆子特别小。说话声音比蚊子还小，见人就往后退。,13,,,,,塞塔探头,,,
#,13,雪克,雪克（正常）,右,但她对莉莉白不一样。整天跟在她屁股后面，莉莉白走到哪她就跟到哪。,14,,,,,塞塔探头,,,
#,14,雪克,雪克（正常）,右,"我们私下叫她""小影子""。因为你看不到她的时候她就在那里，一回头她正盯着你呢。",15,,,,,塞塔探头,,,
#,15,舒悦杉,舒悦杉（平静）,左,所以她现在在外面……？,16,,,,,塞塔探头,,,
#,16,雪克,雪克（正常）,右,也许是因为看到了你？一个陌生面孔站在吧台后面。,17,,,,,塞塔探头,,,
#,17,舒悦杉,舒悦杉（平静）,左,也许我们能从她嘴里问出来什么。,18,,,,,塞塔探头,,,
#,18,舒悦杉,舒悦杉（平静）,左,不过她已经跑走了，不知道还能不能追上。,19,,,,,塞塔探头,,,
#,19,雪克,雪克（正常）,右,就算追上她，她也会被我们吓到从而什么都不说吧。,20,,,,,塞塔探头,,,
#,20,雪克,雪克（正常）,右,既然我们身在酒馆，就应该用酒馆的待客方式。,21,,,,,塞塔探头,,,
#,21,雪克,雪克（正常）,右,为她制作一份特调，等她随时前来品尝。,22,,,,,塞塔探头,,,
#,22,雪克,雪克（正常）,右,莉莉白还在的时候，经常会调制饮品给她。,23,,,,,塞塔探头,,,
#,23,雪克,雪克（正常）,右,啊！,24,,,,,塞塔探头,,,
#,24,舒悦杉,舒悦杉（疑惑）,左,怎么了。,25,,,,,塞塔探头,,,
#,25,雪克,雪克（正常）,右,别忘了塞塔还是小孩子。,26,,,,,塞塔探头,,,
#,26,雪克,雪克（正常）,右,<color=#91002D>我已经帮你把金酒瓶子里换成葡萄汁了。</color>,27,,,,,塞塔探头,,,
#,27,雪克,雪克（正常）,右,她应该会喜欢酸酸甜甜的口味。,28,,,,,塞塔探头,,,
#,28,,,,,29,out,,,,塞塔探头,,,
EVENT,29,,,,,,,,,,,,,LoadScene:gameseta|new 4
