标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,0,,,,,1,in,,,Logic_intro,,,,
EVENT,1,,,,,2,,,,,,,,tip
EVENT,2,,,,,3,,,,,,,,tip1
EVENT,3,,,,,4,,,,,,,,tip2
#,4,雪克,雪克（正常）,右,冷杉苔藓是重要的原料，不要忘记放哦,5,,,,,,,,
#,5,雪克,雪克（正常）,右,至于酒的配比，我相信你的判断,6,,,,,,,,
#,6,雪克,雪克（正常）,右,在你出门的时候，我找到了好多纸，现在可以记录更多的配比方案了,7,,,,,,,,
#,7,雪克,雪克（正常）,右,我算了下，应该能记录8次！,8,,,,,,,,
#,8,雪克,雪克（正常）,右,快开始吧，别让客人久等了,9,,,,,,,,
EVENT,9,,,,,10,,,,,,,,jiu1
#,10,舒悦杉,舒悦杉（平静）,左,请用吧,11,,,,,,,,
#,11,舒悦杉,舒悦杉（平静）,左,这杯名为“寒冬的哨岗”,12,,,,,,,,
EVENT,12,,,,,13,,,,,jgn,,,canmove
#,13,哈伦,哈伦(正常),右,.....,14,,,,,,,,
#,14,舒悦杉,舒悦杉（平静）,左,哈伦，你妹妹……,15,,,,,,,,
#,15,哈伦,哈伦(正常),右,你不该去那里的。,16,,,,,,,,
#,16,舒悦杉,舒悦杉（平静）,左,我知道，这些年你一个人守护她、用那些能量块维持她的生命，一定很辛苦。我也想帮她，就像莉莉白曾经想做的那样。,17,,,,,,,,
#,17,哈伦,哈伦(正常),右,莉莉白……她一开始确实是希望。,18,,,,,,,,
#,18,舒悦杉,舒悦杉（平静）,左,她找上你的时候，你们关系很好吧？,19,,,,,,,,
#,19,哈伦,哈伦(正常),右,那时候，莉莉白说，雾气虽然夺走了我父母，但也能救回我妹妹。她调出的药酒确实有效……我看着那孩子腿上的苔藓一点点剥落，我以为神迹真的降临了。,20,,,,,,,,
#,20,舒悦杉,舒悦杉（疑惑）,左,既然有效，为什么最后会变成那样？,21,,,,,,,,
#,21,哈伦,哈伦（生气）,右,有效？对，一开始确实有效！可她嫌太慢了，非要往酒里加更危险的东西。我拦过她，跟她吵过，她不听。,22,,,,,,,,
#,22,哈伦,哈伦（痛苦）,右,后来她给我妹妹试了一杯新的。结果——植物化的部分确实消了，可她腿上剩下的那些苔藓开始往外冒雾。,23,,,,,,,,
#,23,哈伦,哈伦（痛苦）,右,"镇子上有人看见了。他们在喊""女巫""""毒药""""她在害我们""……",24,in,,,,,,,
#,24,哈伦,哈伦(正常),右,我也在现场。我亲眼看着妹妹在喊疼，亲耳听着身边的人骂莉莉白是在拿人做实验,25,,,,,,,,
#,25,哈伦,哈伦(正常),右,那一刻我也在想——她到底是在救我妹妹，还是在拿那孩子试她的配方？,26,,,,,,,,
#,26,,,,,27,in,,,,dm,,,
#,27,莉莉白,莉莉白（自信）,右,喝吧，小家伙。喝完这杯，明天我们就能试着站起来走两步了。,28,,,,,,,,
#,28,哈伦妹妹,哈伦妹妹,右,谢谢莉莉白姐姐！哥哥，你听到了吗？我可以走路了！,29,,,,,,,,
#,29,哈伦,哈伦（痛苦）,右,莉莉白，谢谢。如果没有你，我真不知道该怎么办……,30,,,,,,,,
#,30,莉莉白,莉莉白（严肃）,右,哈伦，药效到瓶颈了。如果不加入虫卵的活性，你妹妹的植物化很快会反弹。,31,,,,,ign,,,
#,31,哈伦,哈伦（生气）,右,那是个活着的怪物！你竟然要把这种东西喂给一个孩子？莉莉白，你听听你在说什么！,32,,,,,,,,
#,32,莉莉白,莉莉白（生气）,右,这是唯一的出路。我这是在帮你！,33,,,,,,,,
#,33,哈伦,哈伦（生气）,右,够了！我不会再让你碰我妹妹一下。从今天起，这种“巫术”实验到此为止！,34,,,,,,,,
#,34,哈伦,哈伦（痛苦）,右,莉莉白……,35,,,,,ds,,,
#,35,群众,群众NPC,右,雾！她在释放雾！,36,,,,,,,,
#,36,群众,群众NPC,右,她在拿那孩子做实验！,37,,,,,,,,
#,37,群众,群众NPC,右,哈伦队长！你看到了吗？这个女巫在害你妹妹！,38,,,,,,,,
#,38,群众,群众NPC,右,抓住她！别让她再碰那个孩子了！,39,,,,,,,,
#,39,群众,群众NPC,右,哈伦！你妹妹都快被雾吞噬了！你还在等什么？把她抓起来！,40,,,,,,,,
#,40,哈伦,哈伦（痛苦）,右,我……,41,,,,,,,,
#,41,莉莉白,莉莉白（严肃）,右,等一下！这是正常的过渡反应，给我时间——,42,,,,,,,,
#,42,群众,群众NPC,右,过渡？你是想让我们全镇都变成这样吗！,43,,,,,,,,
#,43,,,,,44,in,,,Mystery Unsolved,jgn,,,
#,44,哈伦,哈伦（半醉）,右,我没做错……我只是想让她平安地活着……只要还在我身边就好……,45,,,,,,,,
#,45,舒悦杉,舒悦杉（平静）,左,我相信你，哈伦。作为一个哥哥，你的选择并不难理解。,46,,,,,,,,
#,46,舒悦杉,舒悦杉（平静）,左,但那天晚上，广场上雾散了之后呢？莉莉白……后来怎么样了？,47,,,,,,,,
#,47,哈伦,哈伦（痛苦）,右,……闹大了。比你想的还大。,48,,,,,,,,
#,48,哈伦,哈伦（半醉）,右,"广场上的人散了以后，消息传得比雾还快。全镇都在传""雾木酒馆的女巫在拿孩子做实验""。天亮之前，上面的人就来了。",49,,,,,,,,
#,49,舒悦杉,舒悦杉（凝重）,左,上面的人？,50,,,,,,,,
#,50,哈伦,哈伦（半醉）,右,"他们说必须抓莉莉白，说是为了""控制舆论""。",51,,,,,,,,
#,51,哈伦,哈伦（痛苦）,右,她来找过我。就在那件事的第二天晚上。,52,,,,,,,,
#,52,舒悦杉,舒悦杉（惊讶）,左,她找你求救？,53,,,,,,,,
#,53,哈伦,哈伦（痛苦）,右,对。她求我帮她离开苔眠地，希望我能帮忙拖延时间,54,,,,,,,,
#,54,舒悦杉,舒悦杉（平静）,左,你帮了吗？,55,,,,,,,,
#,55,哈伦,哈伦（痛苦）,右,没有。,56,,,,,,,,
#,56,哈伦,哈伦（痛苦）,右,我当时太生气了。看着她，我就想起妹妹腿上冒出的那些雾。全镇的人都在骂我，说我引狼入室，说我拿妹妹给女巫当实验品。,57,,,,,,,,
#,57,哈伦,哈伦（痛苦）,右,"而且……说实话，我也怕她。她那时候的眼神，像是在说""为了救更多人，牺牲一个也无所谓""。我怕她真的失控了。我怕她下次再给我妹妹灌什么东西的时候，我拦不住她。",58,,,,,,,,
#,58,哈伦,哈伦（半醉）,右,"所以我对她说，""你需要冷静一下""。然后我把门关上了。",59,,,,,,,,
#,59,哈伦,哈伦（半醉）,右,第二天，他们就去酒馆抓人了。但我听说……火是后来才烧起来的。我不知道她到底有没有被抓住。,60,,,,,,,,
#,60,哈伦,哈伦（半醉）,右,我只知道，从那天起，莉莉白就再也没出现过。,61,,,,,,,,
#,61,哈伦,哈伦（半醉）,右,……我没想过会那样。,62,,,,,,,,
#,62,舒悦杉,舒悦杉（惊讶）,左,什么？,63,,,,,,,,
#,63,哈伦,哈伦（痛苦）,右,我没想过让她被抓。我没想过那扇门关上之后，就再也打不开了。,64,,,,,,,,
#,64,哈伦,哈伦（半醉）,右,我当时只是觉得……她需要冷静一下。我只是怕她再伤害我妹妹。我只是想让她停下来，想清楚。,65,,,,,,,,
#,65,哈伦,哈伦（痛苦）,右,但如果我知道那是最后一面……如果我知道他们会放火烧了酒馆……,66,,,,,,,,
#,66,哈伦,哈伦（半醉）,右,……我会帮她的。我会送她去码头的。我会的。,67,,,,,,,,
#,67,哈伦,哈伦（半醉）,右,我没有想过害她。舒小姐，我真的没有想过害她。,68,,,,,,,,
#,68,舒悦杉,舒悦杉（凝重）,左,......,69,,,,,,,,
#,69,舒悦杉,舒悦杉（平静）,左,哈伦。今晚先到这里吧。,70,,,,,,,,
#,70,,,,哈伦队长，如果你的酒话说完了，是不是该轮到我，为舒小姐展示一下更真实的视角了？,71,,,,,,,,
#,71,哈伦,哈伦（半醉）,右,听你说？呵，反正你的嘴里吐不出一个真实的字句。,72,,,,,,,,
#,72,金女士,金女士（微笑）,右,舒小姐，你今晚看人的眼神……和莉莉白一模一样。,73,,,,,,,,
#,73,金女士,金女士（微笑）,右,难怪她总是在信里提起你。,74,,,,,,,,
#,74,金女士,金女士（微笑）,右,我现在有点理解她为什么那么着迷了。你确实……让人很好奇。,75,,,,,,,,
#,75,舒悦杉,舒悦杉（正常）,左,金夫人。你和莉莉白能合作那么久，起码说明你们之间有过信任和共性。,76,,,,,,,,
#,76,舒悦杉,舒悦杉（正常）,左,我对你们的故事也很好奇——到底是什么，把两个本该同路的人，逼到了今天这一步？,77,,,,,,,,
#,77,舒悦杉,舒悦杉（正常）,左,"哈伦刚才说，你出卖了莉莉白。他说的""卖""，是什么意思？",78,,,,,,,,
#,78,舒悦杉,舒悦杉（正常）,左,还有，他提到的奎姆——那个人又是谁？,79,,,,,,,,
#,79,金女士,金女士（正常）,右,"舒小姐，你觉得酿酒是什么？是莉莉白那种不顾后果的""灵感爆发""吗？不，在苔眠地，酿酒需要的是稳定，而不是一场随时可能爆炸的豪赌。",80,,,,,,,,
#,80,舒悦杉,舒悦杉（正常）,左,所以，你觉得拿走她的配方交给商会，是为了稳定？,81,,,,,,,,
#,81,金女士,金女士（正常）,右,莉莉白想用活体材料喂给哈伦妹妹，那是禁忌。如果她失败了，整个酒行都会遭受冲击。,82,,,,,,,,
#,82,金女士,金女士（正常）,右,我找奎姆要资金，是为了把已经成型的药酒量产化。只有人人都能喝到稳定的酒，小镇才有未来。,83,,,,,,,,
#,83,舒悦杉,舒悦杉（正常）,左,但你确实拿了钱，并让莉莉白陷入了孤立。,84,,,,,,,,
#,84,金女士,金女士（正常）,右,"那是她自找的。她拒绝合作，拒绝妥协。我给过她机会，让她把配方做得更""温和""一点，可她满脑子都是你这个天才好友留下的那些""可能性""。",85,,,,,,,,
#,85,舒悦杉,舒悦杉（正常）,左,......,86,,,,,,,,
#,86,金女士,金女士（正常）,右,别介意，我今晚来这里可不是为了和你争吵这些旧事,87,,,,,,,,
#,87,金女士,金女士（微笑）,右,调酒师，我等着你的作品呢,88,,,,,,,,
EVENT,88,,,,,,,,,,,,,LoadScene:gamejin|new 8
