标志,ID,人物,立绘,位置,内容,跳转,背景效果,效果,音效,背景音,背景,变量,章节,事件
#,0,雪克,雪克（正常）,右,听好了，天才。虽然你以前在外面肯定懂这些，但这里是……苔眠地。,1,,,,Explore,,,0,
EVENT,1,,,,,2,,,,,,,,bei 1_0
#,2,雪克,雪克（正常）,右,一般调制一杯“特调”，灵感是它的灵魂。,3,,,,,,,,
#,3,雪克,雪克（正常）,右,你要先确定一个主题——一个情感、一个地方，或者一个人。,4,,,,,,,,
#,4,雪克,雪克（正常）,右,然后是<color=#91002D>基酒</color>。,5,,,,,,,,
EVENT,5,,,,,6,,,,,,,,z1
EVENT,6,,,,,7,,,,,,,,z2
EVENT,7,,,,,8,,,,,,,,z3
#,8,雪克,雪克（正常）,右,这是地基。伏特加、金酒、朗姆……基酒选错了，整座“房子”都会塌掉。,9,,,,,,,,
#,9,舒悦杉, 舒悦杉（凝重）,左,雪克，这些基础我明白……,10,,,,,,,,
#,10,雪克,雪克（正常）,右,但是！,11,,,,,,,,
EVENT,11,,,,,12,,,,,,,,tl1
EVENT,12,,,,,13,,,,,,,,tl3
#,13,雪克,雪克（正常）,右,我们小镇的情况比较特殊！还记得我和你说的除雾酒吗，为什么有这么特殊的酒，就是因为我们在调配的时候会用到独属于我们地方的材料。,14,,,,,,,,
#,14,雪克,雪克（兴奋）,右,莉莉白在的时候，会以雾入酒，她用来调酒的材料……你可以当它是“迷雾”的变体。,15,,,,,,,,
#,15,雪克,雪克（兴奋）,右,它们和外面的味道不一样，酸、甜、苦、咸、鲜——每一种都霸道得很，你得让它们互相服气。 找到那个平衡点了，才是我们雾木酒馆的酒。,16,,,,,,,,
#,16,舒悦杉, 舒悦杉（凝重）,左,迷雾的变体……,17,,,,,,,,
#,17,雪克,雪克（正常）,右,喏，这是我刚帮你翻出来的其他材料。,18,,,,,,,,
EVENT,18,,,,,19,,,,,,,,f1
EVENT,19,,,,,20,,,,,,,,f2
EVENT,20,,,,,21,,,,,,,,f3
#,21,雪克, 雪克（得瑟）,右,"来吧,舒！试着用正确的种类和配比，调出一杯口感合适的饮品给我看看。",22,,,,,,,,
#,22,舒悦杉, 舒悦杉（凝重）,左,……,23,,,,,,,,
